H2 Percentage,Flame Speed (m/s),Flame Temperature (K)
0,0.4189842532063836,2225.5245834770044
10,0.44343148039550423,2230.043977049922
20,0.45683054334087864,2235.330640664029
30,0.4965431451272754,2241.59897116645
40,0.5686215354355372,2249.1519064835547
